Date,close
2015010709:05:00,246.06
2015010709:15:00,246.16
2015010709:20:00,246.06
2015010709:25:00,245.96
2015010709:30:00,246
2015010709:35:00,245.94
2015010709:40:00,246.12
2015010709:45:00,246.12
2015010709:50:00,246.06
2015010709:55:00,246.06
2015010710:00:00,246.06
2015010710:05:00,245.96
2015010710:10:00,245.94
2015010710:15:00,246.02
2015010710:35:00,246.06
2015010710:40:00,246.12
2015010710:45:00,246.06
2015010710:50:00,246.1
2015010710:55:00,246.1
2015010711:00:00,246.06
2015010711:05:00,246.12
2015010711:10:00,246.06
2015010711:15:00,246.06
2015010711:20:00,245.9
2015010711:25:00,245.8
2015010711:30:00,245.7
2015010713:35:00,245.1
2015010713:40:00,245.06
2015010713:45:00,245.1
2015010713:50:00,245.16
2015010713:55:00,245.2
2015010714:00:00,245.26
2015010714:05:00,245.46
2015010714:10:00,245.42
2015010714:15:00,245.42
2015010714:20:00,245.46
2015010714:25:00,245.46
2015010714:30:00,245.56
2015010714:35:00,245.6
2015010714:40:00,245.5
2015010714:45:00,245.36
2015010714:50:00,245.46
2015010714:55:00,245.32
2015010721:10:00,245.14
2015010721:15:00,245.4
2015010721:20:00,245.12
2015010721:25:00,244.76
2015010721:30:00,244.8
2015010721:35:00,244.76
2015010721:40:00,244.9
2015010721:45:00,245.06
2015010721:50:00,245
2015010721:55:00,245.1
2015010722:00:00,245.16
2015010722:05:00,244.9
2015010722:10:00,245.16
2015010722:15:00,245.16
2015010722:20:00,245.1
2015010722:25:00,245.06
2015010722:30:00,245.16
2015010722:35:00,245.26
2015010722:40:00,245.16
2015010722:45:00,245.16
2015010722:50:00,245.2
2015010722:55:00,245.16
2015010723:00:00,245.16
2015010723:05:00,245.02
2015010723:10:00,245.12
2015010723:15:00,245.2
2015010723:20:00,245.1
2015010723:25:00,245.22
2015010723:30:00,245.2
2015010723:35:00,245.56
2015010723:40:00,245.56
2015010723:45:00,245.66
2015010723:50:00,245.86
2015010723:55:00,245.92
2015010800:00:00,245.76
2015010800:05:00,245.82
2015010800:10:00,245.96
2015010800:15:00,245.92
2015010800:20:00,245.86
2015010800:25:00,245.86
2015010800:30:00,245.92
2015010800:35:00,245.4
2015010800:40:00,245.56
2015010800:45:00,245.56
2015010800:50:00,245.5
2015010800:55:00,245.4
2015010801:00:00,245.46
2015010801:05:00,245.56
2015010801:10:00,245.5
2015010801:15:00,245.6
2015010801:20:00,245.6
2015010801:25:00,245.66
2015010801:30:00,245.62
2015010801:35:00,245.6
2015010801:40:00,245.6
2015010801:45:00,245.6
2015010801:50:00,245.6
2015010801:55:00,245.56
2015010802:00:00,245.66
2015010802:05:00,245.56
2015010802:10:00,245.56
2015010802:15:00,245.52
2015010802:20:00,245.4
2015010802:25:00,245.44
2015010802:30:00,245.2
2015010809:05:00,245.56
2015010809:15:00,245.66
2015010809:20:00,245.7
2015010809:25:00,245.6
2015010809:30:00,245.6
2015010809:35:00,245.54
2015010809:40:00,245.56
2015010809:45:00,245.56
2015010809:50:00,245.46
